Pasal-Ayat,Isi
1233,"Perikatan, lahir karena suatu persetujuan atau karena undang-undang."
1234,"Perikatan ditujukan untuk memberikan sesuatu, untuk berbuat sesuatu, atau untuk tidak berbuat sesuatu."
1235,"Dalam perikatan untuk memberikan sesuatu, termasuk kewajiban untuk menyerahkan barang yang bersangkutan dan untuk merawatnya sebagai seorang kepala rumah tangga yang baik, sampai saat penyerahan. Luas tidaknya kewajiban yang terakhir ini tergantung pada persetujuan tertentu, akibatnya akan ditunjuk dalam bab-bab yang bersangkutan."
1236,"Debitur wajib memberi ganti biaya, kerugian dan bunga kepada kreditur bila ia menjadikan dirinya tidak mampu untuk menyerahkan barang itu atau tidak merawatnya dengan sebaik-baiknya untuk menyelamatkannya."
1237,"Pada suatu perikatan untuk memberikan barang tertentu, barang itu menjadi tanggungan kreditur sejak perikatan lahir. Jika debitur lalai untuk menyerahkan barang yang bersangkutan, maka barang itu semenjak perikatan dilakukan, menjadi tanggungannya."
1238,"Debitur dinyatakan Ialai dengan surat perintah, atau dengan akta sejenis itu, atau berdasarkan kekuatan dari perikatan sendiri, yaitu bila perikatan ini mengakibatkan debitur harus dianggap Ialai dengan lewatnya waktu yang ditentukan."
1239,"Tiap perikatan untuk berbuat sesuatu, atau untuk tidak berbuat sesuatu, wajib diselesaikan dengan memberikan penggantian biaya, kerugian dan bunga, bila debitur tidak memenuhi kewajibannya."
1240,"Walaupun demikian, kreditur berhak menuntut penghapusan segala sesuatu yang dilakukan secara bertentangan dengan perikatan dan ia dapat minta kuasa dari Hakim untuk menyuruh menghapuskan segala sesuatu yang telah dibuat itu atas tanggungan debitur, hal ini tidak mengurangi hak untuk menuntut penggantian biaya, kerugian dan bunga, jika ada alasan untuk itu"
1241,"Bila perikatan itu tidak dilaksanakan, kreditur juga boleh dikuasakan untuk melaksanakan sendiri perikatan itu atas biaya debitur"
1242,"Jika perikatan itu bertujuan untuk tidak berbuat sesuatu, maka pihak mana pun yang berbuat bertentangan dengan perikatan itu, karena pelanggaran itu saja, diwajibkan untuk mengganti biaya, kerugian dan bunga."
1243,"Penggantian biaya, kerugian dan bunga karena tak dipenuhinya suatu perikatan mulai diwajibkan, bila debitur, walaupun telah dinyatakan Ialai, tetap Ialai untuk memenuhi perikatan itu, atau jika sesuatu yang harus diberikan atau dilakukannya hanya dapat diberikan atau dilakukannya dalam waktu yang melampaui waktu yang telah ditentukan."
1244,"Debitur harus dihukum untuk mengganti biaya, kerugian dan bunga. bila ia tak dapat membuktikan bahwa tidak dilaksanakannya perikatan itu atau tidak tepatnya waktu dalam melaksanakan perikatan itu disebabkan oleh sesuatu hal yang tak terduga, yang tak dapat dipertanggungkan kepadanya. walaupun tidak ada itikad buruk kepadanya."
1245,"Tidak ada penggantian biaya. kerugian dan bunga. bila karena keadaan memaksa atau karena hal yang terjadi secara kebetulan, debitur terhalang untuk memberikan atau berbuat sesuatu yang diwajibkan, atau melakukan suatu perbuatan yang terlarang baginya."
1246,"Biaya, ganti rugi dan bunga, yang boleh dituntut kreditur, terdiri atas kerugian yang telah dideritanya dan keuntungan yang sedianya dapat diperolehnya, tanpa mengurangi pengecualian dan perubahan yang disebut di bawah ini."
1247,"Debitur hanya diwajibkan mengganti biaya, kerugian dan bunga, yang diharap atau sedianya dapat diduga pada waktu perikatan diadakan, kecuali jika tidak dipenuhinya perikatan itu disebabkan oleh tipu daya yang dilakukannya."
1248,"Bahkan jika tidak dipenuhinya perikatan itu disebabkan oleh tipu daya debitur, maka penggantian biaya, kerugian dan bunga, yang menyebabkan kreditur menderita kerugian dan kehilangan keuntungan, hanya mencakup hal-hal yang menjadi akibat langsung dari tidak dilaksanakannya perikatan itu."
1249,"Jika dalam suatu perikatan ditentukan bahwa pihak yang lalai memenuhinya harus membayar suatu jumlah uang tertentu sebagai ganti kerugian, maka kepada pihak lain-lain tak boleh diberikan suatu jumlah yang lebih ataupun yang kurang dari jumlah itu."
1250,"Dalam perikatan yang hanya berhubungan dengan pembayaran sejumlah uang, penggantian biaya, kerugian dan bunga yang timbul karena keterlambatan pelaksanaannya, hanya terdiri atas bunga yang ditentukan oleh undang-undang tanpa mengurangi berlakunya peraturan undangundang khusus. Penggantian biaya, kerugian dan bunga itu wajib dibayar, tanpa perlu dibuktikan adanya suatu kerugian o!eh kreditur. Penggantian biaya,. kerugian dan bunga itu baru wajib dibayar sejak diminta di muka Pengadilan, kecuali bila undang-undang menetapkan bahwa hal itu berlaku demi hukum."
1251,"Bunga uang pokok yang dapat ditagih dapat pula menghasilkan bunga, baik karena suatu permohonan di muka Pengadilan, maupun karena suatu persetujuan yang khusus, asal saja permintaan atau persetujuan tersebut adalah mengenai bunga yang harus dibayar untuk satu tahun"
1252,"Walaupun demikian, penghasilan yang dapat ditagih, seperti uang upah tanah dan uang sewa lain, bunga abadi atau bunga sepanjang hidup seseorang, menghasilkan bunga mulai hari dilakukan penuntutan atau dibuat persetujuan. Peraturan yang sama berlaku terhadap pengembalian hasilhasil sewa dan bunga yang dibayar oleh seorang pihak ketiga kepada kreditur untuk pembebasan debitur."
1253,"Suatu perikatan adalah bersyarat jika digantungkan pada suatu peristiwa yang mungkin terjadi dan memang belum terjadi, baik dengan cara menangguhkan berlakunya perikatan itu sampai terjadinya peristiwa itu, maupun dengan cara membatalkan perikatan itu, tergantung pada terjadi tidaknya peristiwa itu."
1254,"Semua syarat yang bertujuan melakukan sesuatu yang tak mungkin terlaksana, sesuatu yang bertentangan dengan kesusilaan yang baik, atau sesuatu yang dilarang oleh undang-undang adalah batal dan mengakibatkan persetujuan yang digantungkan padanya tak berlaku."
1255,"Syarat yang bertujuan tidak melakukan sesuatu yang tak mungkin dilakukan, tidak membuat perikatan yang digantungkan padanya tak berlaku."
1256,"Semua perikatan adalah batal, jika pelaksanaannya semata-mata tergantung pada kemauan orang yang terikat. Tetapi jika perikatan tergantung pada suatu perbuatan yang pelaksanaannya berada dalam kekuasaan orang tersebut, dan perbuatan itu telah terjadi maka perikatan itu adalah sah."
1257,Semua syarat harus dipenuhi dengan cara yang dikehendaki dan dimaksudkan oleh pihak-pihak yang bersangkutan.
1258,"Jika suatu perikatan tergantung pada suatu syarat bahwa suatu peristiwa akan terjadi dalam waktu tertentu, maka syarat tersebut dianggap tidak ada, bila waktu tersebut telah lampau sedangkan peristiwa tersebut setiap waktu dapat dipenuhi, dan syarat itu tidak dianggap tidak ada sebelum ada kepastian bahwa peristiwa itu tidak akan terjadi."
1259,"Jika suatu perikatan tergantung pada syarat bahwa suatu peristiwa tidak akan terjadi dalam waktu tertentu, maka syarat tersebut telah terpenuhi bila waktu tersebut lampau tanpa terjadinya peristiwa itu. Begitu pula bila syarat itu telah terpenuhi, jika sebelum waktu tersebut lewat telah ada kepastian bahwa peristiwa itu tidak akan terjadinya, tetapi tidak ditetapkan suatu waktu, maka syarat itu tidak terpenuhi sebelum ada kepastian bahwa peristiwa tersebut tidak akan terjadi."
1260,"Syarat yang bersangkutan dianggap telah terpenuhi, jika debitur yang terikat oleh syarat itu menghalangi terpenuhinya syarat itu."
1261,"Bila syarat telah terpenuhi, maka syarat itu berlaku surut hingga saat terjadinya perikatan. Jika kreditur meninggal sebelum terpenuhinya syarat, maka hak-haknya berpindah kepada para ahli warisnya."
1262,Kreditur sebelum syarat terpenuhi boleh melakukan segala usaha yang perlu untuk menjaga supaya haknya jangan sampai hilang.
1263,"Suatu perikatan dengan syarat tunda adalah suatu perikatan yang tergantung pada suatu peristiwa yang masih akan datang dan belum tentu akan terjadi, atau yang tergantung pada suatu hal yang sudah terjadi tetapi hal itu tidak diketahui oleh kedua belah pihak. Dalam hal pertama, perikatan tidak dapat dilaksanakan sebelum peristiwanya terjadi, dalam hal kedua, perikatan mulai berlaku sejak terjadi."
1264,"Jika suatu perikatan tergantung pada suatu syarat yang ditunda, maka barang yang menjadi pokok perikatan tetap menjadi tanggungan debitur, yang hanya wajib menyerahkan barang itu bila syarat dipenuhi. Jika barang tersebut musnah seluruhnya di luar kesalahan debitur, maka baik bagi pihak yang satu maupun pihak yang lain, tidak ada lagi perikatan. Jika barang tersebut merosot harganya di luar kesalahan debitur, maka kreditur dapat memilih: memutuskan perikatan atau menuntut penyerahan barang itu dalam keadaan seperti apa adanya, tanpa pengurangan harga yang telah dijanjikan. Jika harga barang itu merosot karena kesalahan debitur, maka kreditur berhak memutuskan perikatan atau menuntut penyerahan barang itu dalam keadaan seperti adanya dengan penggantian kerugian."
1265,"Suatu syarat batal adalah syarat yang bila dipenuhi akan menghapuskan perikatan dan membawa segala sesuatu kembali pada keadaan semula, seolah-olah tidak pernah ada suatu perikatan. Syarat ini tidak menunda pemenuhan perikatan, ia hanya mewajibkan kreditur mengembalikan apa yang telah diterimanya, bila peristiwa yang dimaksudkan terjadi."
1266,"Syarat batal dianggap selalu dicantumkan dalam persetujuan yang timbal balik, andaikata salah satu pihak tidak memenuhi kewajibannya. Dalam hal demikian persetujuan tidak batal demi hukum, tetapi pembatalan harus dimintakan kepada Pengadilan. Permintaan ini juga harus dilakukan, meskipun syarat batal mengenai tidak dipenuhinya kewajiban dinyatakan di dalam persetujuan. Jika syarat batal tidak dinyatakan dalam persetujuan, maka Hakim dengan melihat keadaan, atas permintaan tergugat, leluasa memberikan suatu jangka waktu untuk memenuhi kewajiban, tetapi jangka waktu itu tidak boleh lebih dan satu bulan."
1267,"Pihak yang terhadapnya perikatan tidak dipenuhi, dapat memilih, memaksa pihak yang lain untuk memenuhi persetujuan, jika hal itu masih dapat dilakukan, atau menuntut pembatalan persetujuan, dengan penggantian biaya, kerugian dan bunga."
1268,"Waktu yang ditetapkan tidaklah menunda perikatan, melainkan hanya pelaksanaannya."
1269,"Apa yang harus dibayar pada waktu yang ditentukan itu, tidak dapat ditagih sebelum waktu itu tiba, tetapi apa yang telah dibayar sebelum waktu itu, tak dapat diminta kembali."
1270,"Waktu yang ditetapkan selalu ditentukan untuk kepentingan debitur, kecuali jika dari sifat perikatan sendiri atau keadaan ternyata bahwa waktu itu ditentukan untuk kepentingan kreditur."
1271,"Debitur tidak dapat lagi menarik manfaat dan suatu ketetapan waktu, jika ia telah dinyatakan pailit, atau jika jaminan yang diberikannya kepada kreditur telah merosot karena kesalahannya sendiri."
1272,"Dalam perikatan dengan pilihan, debitur dibebaskan jika ia menyerahkan salah satu dari dua barang yang disebut dalam perikatan, tetapi ia tidak dapat memaksa kreditur untuk menerima sebagian dari barang yang satu dan sebagian dari barang yang lain."
1273,"Hak memilih ada pada debitur, jika hal ini tidak secara tegas diberikan kepada kreditur."
1274,"Suatu perikatan adalah murni dan sederhana, walaupun perikatan itu disusun secara boleh pilih atau secara mana suka, jika salah satu dari kedua barang yang dijanjikan tidak dapat menjadi pokok perikatan."
1275,"Suatu perikatan dengan pilihan adalah murni dan sederhana, jika salah satu dari barang yang dijanjikan hilang, atau karena kesalahan debitur tidak dapat diserahkan lagi. Harga dari barang itu tidak dapat ditawarkan sebagai ganti salah satu barang, dia harus membayar harga barang yang paling akhir hilang."
1276,"Jika dalam hal-hal yang disebutkan dalam pasal lalu pilihan diserahkan kepada kreditur dan hanya salah satu barang saja yang hilang, maka jika hal itu terjadi di luar kesalahan debitur, kreditur harus memperoleh barang yang masih ada, jika hilangnya salah satu barang tadi terjadi karena salahnya debitur, maka kreditur dapat menuntut penyerahan barang yang masih ada atau harga barang yang telah hilang. Jika kedua barang lenyap, maka bila hilangnya barang itu, salah satu saja pun, terjadi karena kesalahan debitur, kreditur boleh menuntut pembayaran harga salah satu barang itu menurut pilihannya."
1277,"Prinsip yang sama juga berlaku, baik jika ada lebih dari dua barang termaktub dalam perikatan maupun jika perikatan itu adalah mengenai berbuat sesuatu ataupun tidak berbuat sesuatu."
1278,"Suatu perikatan tanggung-menanggung atau perikatan tanggung renteng terjadi antara beberapa kreditur, jika dalam bukti persetujuan secara tegas kepada masing-masing diberikan hak untuk menuntut pemenuhan seluruh utang, sedangkan pembayaran yang dilakukan kepada salah seorang di antara mereka, membebaskan debitur, meskipun perikatan itu menurut sifatnya dapat dipecah dan dibagi antara para kreditur tadi."
1279,"Selama belum digugat oleh salah satu kreditur, debitur bebas memilih, apakah ia akan membayar utang kepada yang satu atau kepada yang lain di antara para kreditur. Meskipun demikian, pembebasan yang diberikan oleh salah seorang kreditur dalam suatu perikatan tanggung menanggung, tak dapat membebaskan debitur lebih dari bagian kreditur tersebut."
1280,"Di pihak para debitur terjadi suatu perikatan tanggung-menanggung, manakala mereka semua wajib melaksanakan satu hal yang sama, sedemikian rupa sehingga salah satu dapat dituntut untuk seluruhnya, dan pelunasan oleh salah satu dapat membebaskan debitur lainnya terhadap kreditur."
1281,"Suatu perikatan dapat bersifat tanggung-menanggung, meskipun salah satu debitur itu diwajibkan memenuhi hal yang sama dengan cara berlainan dengan teman-temannya sepenanggungan, misalnya yang satu terikat dengan bersyarat, sedangkan yang lain terikat secara murni dan sederhana, atau terhadap yang satu telah diberikan ketetapan waktu dengan persetujuan, sedang terhadap yang lainnya tidak diberikan."
1282,Tiada perikatan yang dianggap sebagai perikatan tanggung-menanggung kecuali jika dinyatakan dengan tegas. Ketentuan ini hanya dikecualikan dalam hal mutu perikatan dianggap sebagai perikatan tanggung-menanggung karena kekuatan penetapan undang-undang.
1283,"Kreditur dalam suatu perikatan tanggung-menanggung dapat menagih piutangnya dari salah satu debitur yang dipilihnya, dan debitur ini tidak dapat meminta agar utangnya dipecah."
1284,Penuntutan yang ditujukan kepada salah seorang debitur tidak menjadi halangan bagi kreditur itu untuk melaksanakan haknya terhadap debitur lainnya.
1285,"Jika barang yang harus diberikan musnah karena kesalahan seorang debitur tanggung renteng atau lebih, atau setelah debitur itu dinyatakan lalai, maka para kreditur lainnya tidak bebas dari kewajiban untuk membayar harga barang itu, tetapi mereka tidak wajib untuk membayar penggantian biaya, kerugian dan bunga. Kreditur hanya dapat menuntut penggantian biaya, kerugian dan bunga, baik dari debitur yang menyebabkan lenyapnya barang itu maupun dari mereka yang lalai memenuhi perikatan"
1286,"Tuntutan pembayaran bunga yang diajukan terhadap salah satu di antara para debitur yang menyebabkan lenyapnya barang itu, maupun dari mereka yang lalai memenuhi perikatan."
1287,"Seorang debitur dalam suatu perikatan tanggung-menanggung yang dituntut oleh kreditur, dapat memajukan semua bantahan yang timbul dari sifat perikatan dan yang mengenai dirinya sendiri, pula semua bantahan yang mengenai diri semua debitur lain. Ia tidak dapat memakai bantahan yang hanya mengenai beberapa debitur saja."
1288,"Jika salah satu debitur menjadi satu-satunya ahli waris kreditur, atau jika kreditur merupakan satusatunya ahli waris salah satu debitur, maka percampuran utang ini tidak mengakibatkan tidak berlakunya perikatan tanggung-menanggung kecuali untuk bagian dari debitur atau kreditur yang bersangkutan."
1289,"Kreditur yang telah menyetujui pembagian piutangnya terhadap salah satu debitur, tetap memiliki piutang terhadap para debitur yang lain, tetapi dikurangi bagian debitur yang telah dibebaskan dari perikatan tanggung-menanggung."
1290,"Kreditur yang menerima bagian salah satu debitur tanpa melepaskan haknya berdasarkan utang tanggung renteng sendiri atau hak-haknya pada umumnya, tidak menghapuskan haknya secara tanggung renteng, melainkan hanya terhadap debitur tadi. Kreditur tidak dianggap membebaskan debitur dari perikatan tanggung-menanggung, jika dia menerima suatu jumlah sebesar bagian debitur itu dalam seluruh utang, sedangkan surat bukti pembayaran tidak secara tegas menyatakan bahwa apa yang diterimanya adalah untuk bagian orang tersebut. Hal yang sama berlaku terhadap tuntutan yang ditujukan kepada salah satu debitur, selama orang ini belum membenarkan tuntutan tersebut, atau selama perkara belum diputus oleh Hakim."
1291,"Kreditur yang menerima secara tersendiri dan tanpa syarat bagian dari salah satu debitur dalam pembayaran bunga tunggakan dari suatu utang, hanya kehilangan haknya sendiri terhadap bunga yang telah harus dibayar dan tidak terhadap bunga yang belum tiba waktunya untuk ditagih atau utang pokok, kecuali bila pembayaran tersendiri itu telah terjadi selama sepuluh tahun berturutturut."
1292,"Suatu perkiraan, meskipun menjadi tanggung jawab kreditur sendiri, menurut hukum dapat dihadapi para debitur secara terbagi-bagi, masing-masing untuk bagiannya sendiri-sendiri."
1293,"Seorang debitur yang telah melunasi utangnya dalam suatu perikatan tanggung-menanggung, tidak dapat menuntut kembali dari para debitur Iainnya lebih daripada bagian mereka masingmasing. Jika salah satu di antara mereka tidak mampu untuk membayar, maka kerugian yang disebabkan oleh ketidakmampuan itu harus dipikul bersama-sama oleh para debitur Iainnya dan debitur yang telah melunasi utangnya, menurut besarnya bagian masing-masing."
1294,"Jika kreditur telah membebaskan salah satu debitur dari perikatan tanggung-menanggung, dan seorang atau lebih debitur lainnya menjadi tak mampu, maka bagian dari yang tak mampu itu harus dipikul bersama-sama oleh debitur lainnya, juga oleh mereka yang telah dibebaskan dari perikatan tanggung-menanggung."
1295,"Jika barang yang untuknya orang-orang mengikatkan diri secara tanggung renteng itu hanya menyangkut salah satu di antara mereka, maka mereka masing-masing terikat seluruhnya kepada kreditur, tetapi di antara mereka sendiri mereka dianggap sebagai orang penjamin bagi orang yang bersangkutan dengan barang itu, dan karena itu harus diberi ganti rugi."
1296,"Suatu perikatan dapat dibagi-bagi atau tak dapat dibagi-bagi sekedar pokok perikatan tersebut adalah suatu barang yang penyerahannya atau suatu perbuatan yang pelaksanaannya dapat dibagi-bagi atau tak dapat dibagi-bagi, baik secara nyata maupun tak nyata."
1297,"Suatu perikatan tak dapat dibagi-bagi, meskipun barang atau perbuatan yang menjadi pokok perikatan itu, karena sifatnya, dapat dibagi-bagi jika barang atau perbuatan itu, menurut maksudnya, tidak boleh diserahkan atau dilaksanakan sebagian demi sebagian saja."
1298,"Bahwa suatu perikatan merupakan perikatan tanggung-menanggung, itu tidak berarti bahwa perikatan itu adalah suatu perikatan yang tak dapat dibagi-bagi."
1299,"Suatu perikatan yang dapat dibagi-bagi, harus dilaksanakan antara debitur dan kreditur, seolaholah perikatan itu tak dapat dibagi-bagi, hal dapatnya dibagi-bagi suatu perikatan, itu hanya dapat diterapkan terhadap ahli waris yang tak dapat menagih piutangnya atau tidak wajib membayar utangnya selain untuk bagian masing-masing sebagai ahli waris atau orang yang harus mewakili kreditur atau debitur."
1300,"Asas yang ditentukan dalam pasal yang lalu, dikecualikan terhadap: 1. jika utang itu berkenaan dengan suatu hipotek, 2. jika utang itu terdiri atas suatu barang tertentu, 3. jika utang itu mengenai berbagai utang yang dapat dipilih, terserah kepada kreditur, sedang salah satu dari barang-barang itu tak dapat dibagi, 4. jika menurut persetujuan hanya salah satu ahli waris saja yang diwajibkan melaksanakan perikatan itu, 5. jika ternyata dengan jelas, baik karena sifat perikatan, maupun karena sifat barang yang menjadi pokok perikatan, atau karena maksud yang terkandung persetujuan itu, bahwa maksud kedua belah pihak adalah bahwa utangnya tidak dapat diangsur. Dalam ketiga hal yang pertama, ahli waris yang menguasai barang yang harus diserahkan atau barang yang menjadi tanggungan hipotek, dapat dituntut membayar seluruh utangnya, pembayaran mana dapat dilakukan atas barang yang harus diserahkan itu atau atas barang yang dijadikan tanggungan hipotek, tanpa mengurangi haknya untuk menuntut penggantian biaya kepada ahli waris lainnya. Ahli waris yang dibebani dengan utang dalam hal yang keempat, dan tiap ahli waris dalam hal yang kelima, dapat pula dituntut untuk seluruh utang, tanpa mengurangi hak mereka untuk minta ganti rugi dari ahli waris yang lain."
1301,"Tiap orang yang bersama-sama wajib memikul suatu utang yang dapat dibagi, bertanggung jawab untuk seluruhnya, meskipun perikatan tidak dibuat secara tanggung-menanggung."
1302,Hal yang sama juga berlaku bagi para ahli waris yang diwajibkan memenuhi perikatan seperti itu.
